Mood Name/ Feeling,Definition,Emotional Group,Group,Group Count,Hue Range (°),Intensity level,Tier Count,hex,hue,lightness,rgb,saturation
Innovative,The result of imagination being implemented into new and valuable ideas or products.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,10,#d726d8,299.7,50,"rgb(215, 38, 216)",70
Visionary,"The ability to form or use vivid, imaginative, or prophetic mental images.",Anticipation / Dream,Profound Vision,0,330,Higher,1,#d826d4,301.52,50,"rgb(216, 38, 212)",70
Powerful,"Exerting great force or influence; a feeling of intense, commanding energy.",Anticipation / Dream,Profound Vision,0,330,Higher,2,#d826ce,303.35,50,"rgb(216, 38, 206)",70
Proleptic,The anticipation or foreshadowing of a future event; an advanced or prophetic feeling.,Anticipation / Dream,Profound Vision,0,330,Higher,4,#d826c3,307.01,50,"rgb(216, 38, 195)",70
Esoteric,"Intended for or understood by only a small number of people with specialized knowledge, suggesting profound mystery.",Anticipation / Dream,Profound Vision,0,330,Higher,3,#d826c9,305.18,50,"rgb(216, 38, 201)",70
Futuristic,A state of anticipation for the future; an intense focus on what is yet to come.,Anticipation / Dream,Profound Vision,0,330,Higher,5,#d826be,308.83,50,"rgb(216, 38, 190)",70
Transcendental,Exceeding or going beyond normal human experience; a feeling of profound awe.,Anticipation / Dream,Profound Vision,0,330,Higher,6,#d826b9,310.66,50,"rgb(216, 38, 185)",70
Enigmatic,"Puzzling, mysterious, or difficult to understand; creates intense curiosity.",Anticipation / Dream,Profound Vision,0,330,Higher,7,#d826b3,312.49,50,"rgb(216, 38, 179)",70
Imminent,The quality of being about to happen; a powerful and immediate sense of anticipation.,Anticipation / Dream,Profound Vision,0,330,Higher,8,#d826ae,314.31,50,"rgb(216, 38, 174)",70
Awakening,"A spiritual or intellectual awakening is a powerful, profound, and often arduous experience.",Anticipation / Dream,Profound Vision,0,330,Higher,9,#d826a8,316.14,50,"rgb(216, 38, 168)",70
Neutral,"A state of neither positive nor negative expression, emotionless and objective.",Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,1,#d826a3,317.97,50,"rgb(216, 38, 163)",70
Observational,Characterized by a passive and detached noting of events or surroundings.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,2,#d8269d,319.8,50,"rgb(216, 38, 157)",70
Impassive,Not feeling or showing emotion; unemotional.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,4,#d82692,323.45,50,"rgb(216, 38, 146)",70
Ambivalent,Having mixed or contradictory feelings about something.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,3,#d82698,321.62,50,"rgb(216, 38, 152)",70
Detached,"Separate or disconnected, with little or no emotional involvement.",Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,5,#d8268d,325.28,50,"rgb(216, 38, 141)",70
Objective,Based on facts and not influenced by personal feelings or opinions.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,6,#d82688,327.11,50,"rgb(216, 38, 136)",70
Minimalist,An aesthetic characterized by extreme spareness and simplicity.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,7,#d82682,328.93,50,"rgb(216, 38, 130)",70
Structured,Arranged in a deliberate and organized pattern.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,8,#d8267d,330.76,50,"rgb(216, 38, 125)",70
Grounded,"Sensible, realistic, and practical; a strong connection to reality.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,1,#d82677,332.59,50,"rgb(216, 38, 119)",70
Analog,"Related to a method of processing or transmitting signals using continuous variables, suggesting a tangible, classic feel.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,2,#d82672,334.42,50,"rgb(216, 38, 114)",70
Concrete,"A material or quality that is solid, real, and based on specific instances.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,3,#d8266c,336.24,50,"rgb(216, 38, 108)",70
Reflective,Deeply or seriously thoughtful; meditative.,Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,4,#d82667,338.07,50,"rgb(216, 38, 103)",70
Clinical,"An emotionless or cold, detached, but precise style.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,6,#d8265c,341.73,50,"rgb(216, 38, 92)",70
Textural,Pertaining to the perceived surface quality or texture of a work of art.,Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,5,#d82662,339.9,50,"rgb(216, 38, 98)",70
Atmospheric,"Pertaining to the air, or creating a distinctive and suggestive mood.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,7,#d82657,343.55,50,"rgb(216, 38, 87)",70
Raw,"Unprocessed, visceral, and intense emotion.",Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,1,#d82651,345.38,50,"rgb(216, 38, 81)",70
Soulful,"Full of deep or tender feeling, emotion, or expression.",Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,2,#d8264c,347.21,50,"rgb(216, 38, 76)",70
Glitchy,"Characterized by sudden, unexpected, or jarring interruptions.",Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,4,#d82641,350.86,50,"rgb(216, 38, 65)",70
Abstract,Existing in thought or as an idea but not having a physical or concrete existence.,Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,3,#d82646,349.04,50,"rgb(216, 38, 70)",70
Underground,"Referring to an alternative, subversive, or non-mainstream aesthetic.",Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,5,#d8263b,352.69,50,"rgb(216, 38, 59)",70
Deconstructed,Taken apart or analyzed into its constituent components; a style that reveals its own construction.,Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,6,#d82636,354.52,50,"rgb(216, 38, 54)",70
Arcane,Understood by few; mysterious or secret.,Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,7,#d82631,356.35,50,"rgb(216, 38, 49)",70
Timeless,Not affected by the passage of time or changes in fashion.,Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,8,#d8262b,358.17,50,"rgb(216, 38, 43)",70
